filing_id,form_type,filer_committee_id_number,committee_name,election_state,election_district,report_code,col_a_total_individual_contributions,col_a_pac_contributions,col_a_candidate_contributions,col_a_candidate_loans,col_a_total_receipts,col_b_total_receipts,col_a_total_disbursements,col_a_cash_on_hand_close
1394886,F3N,C00736942,KAHN 4 CONGRESS,OH,01,12P,64.77,0.00,0.00,0.00,64.77,2281.30,64.77,2004.58
1385261,F3N,C00705079,Raul for Congress,,,12P,28780.00,0.00,2050.33,5000.00,35830.33,170951.76,53547.20,18609.74
1394907,F3N,C00731141,Brigid for South Jersey,NJ,02,Q1,77350.45,34300.00,1100.00,100000.00,212750.45,258345.26,80810.22,177535.04
1385268,F3N,C00725101,Christy Smith for Congress,CA,25,12P,253157.83,60700.00,0.00,0.00,313857.83,1159103.52,648287.27,257972.01
1391477,F3A,C00710459,Nikki Foster for Ohio,OH,01,12P,102670.47,3250.00,2359.64,0.00,128055.36,436668.06,147703.23,93824.71
1394920,F3N,C00632257,Mast for Congress,FL,18,Q1,579588.80,67500.00,0.00,0.00,733196.20,3052213.69,443170.01,1516371.12
1395598,F3A,C00697920,George Phillips For Congress,NY,22,Q1,49017.00,1500.00,5.00,0.00,50522.00,50522.00,574.91,49947.09
1395615,F3N,C00722694,REIDHEAD FOR CONGRESS,AZ,01,Q1,21332.00,0.00,6818.41,0.00,28150.41,80371.51,33167.83,30388.61
1394565,F3N,C00709881,Beckwith for Congress,IN,05,Q1,37623.33,0.00,0.00,0.00,37623.33,133055.72,39836.32,35437.20
1394569,F3N,C00698084,Joseph Morgan for Congress,AZ,02,Q1,1845.00,0.00,0.00,0.00,1845.00,24047.20,5331.94,1157.62
1385307,F3N,C00726943,Joyce Elliott for Congress,AR,02,12P,141939.15,18500.00,0.00,0.00,161439.15,246965.47,35721.61,197776.57
1385308,F3N,C00710475,VOTE DONNA US CONGRESS,TX,31,12P,20100.32,0.00,0.00,0.00,20100.32,227631.82,48837.56,158333.00
1395711,F3A,C00656686,Tom Malinowski for Congress,NJ,07,Q1,504311.86,58255.19,0.00,0.00,562567.05,603915.35,74640.89,548375.71
